"Mês","","Variável",""
"janeiro 1997","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1997","Brasil","Custo médio m² - moeda corrente","..."
"março 1997","Brasil","Custo médio m² - moeda corrente","..."
"abril 1997","Brasil","Custo médio m² - moeda corrente","..."
"maio 1997","Brasil","Custo médio m² - moeda corrente","..."
"junho 1997","Brasil","Custo médio m² - moeda corrente","..."
"julho 1997","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1997","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1997","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1997","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1997","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1997","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1998","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1998","Brasil","Custo médio m² - moeda corrente","..."
"março 1998","Brasil","Custo médio m² - moeda corrente","..."
"abril 1998","Brasil","Custo médio m² - moeda corrente","..."
"maio 1998","Brasil","Custo médio m² - moeda corrente","..."
"junho 1998","Brasil","Custo médio m² - moeda corrente","..."
"julho 1998","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1998","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1998","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1998","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1998","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1998","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 1999","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 1999","Brasil","Custo médio m² - moeda corrente","..."
"março 1999","Brasil","Custo médio m² - moeda corrente","..."
"abril 1999","Brasil","Custo médio m² - moeda corrente","..."
"maio 1999","Brasil","Custo médio m² - moeda corrente","..."
"junho 1999","Brasil","Custo médio m² - moeda corrente","..."
"julho 1999","Brasil","Custo médio m² - moeda corrente","..."
"agosto 1999","Brasil","Custo médio m² - moeda corrente","..."
"setembro 1999","Brasil","Custo médio m² - moeda corrente","..."
"outubro 1999","Brasil","Custo médio m² - moeda corrente","..."
"novembro 1999","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 1999","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 2000","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 2000","Brasil","Custo médio m² - moeda corrente","..."
"março 2000","Brasil","Custo médio m² - moeda corrente","..."
"abril 2000","Brasil","Custo médio m² - moeda corrente","..."
"maio 2000","Brasil","Custo médio m² - moeda corrente","..."
"junho 2000","Brasil","Custo médio m² - moeda corrente","..."
"julho 2000","Brasil","Custo médio m² - moeda corrente","..."
"agosto 2000","Brasil","Custo médio m² - moeda corrente","..."
"setembro 2000","Brasil","Custo médio m² - moeda corrente","..."
"outubro 2000","Brasil","Custo médio m² - moeda corrente","..."
"novembro 2000","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 2000","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 2001","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 2001","Brasil","Custo médio m² - moeda corrente","..."
"março 2001","Brasil","Custo médio m² - moeda corrente","..."
"abril 2001","Brasil","Custo médio m² - moeda corrente","..."
"maio 2001","Brasil","Custo médio m² - moeda corrente","..."
"junho 2001","Brasil","Custo médio m² - moeda corrente","..."
"julho 2001","Brasil","Custo médio m² - moeda corrente","..."
"agosto 2001","Brasil","Custo médio m² - moeda corrente","..."
"setembro 2001","Brasil","Custo médio m² - moeda corrente","..."
"outubro 2001","Brasil","Custo médio m² - moeda corrente","..."
"novembro 2001","Brasil","Custo médio m² - moeda corrente","..."
"dezembro 2001","Brasil","Custo médio m² - moeda corrente","..."
"janeiro 2002","Brasil","Custo médio m² - moeda corrente","..."
"fevereiro 2002","Brasil","Custo médio m² - moeda corrente","..."
"março 2002","Brasil","Custo médio m² - moeda corrente","..."
"abril 2002","Brasil","Custo médio m² - moeda corrente","..."
"maio 2002","Brasil","Custo médio m² - moeda corrente","..."
"junho 2002","Brasil","Custo médio m² - moeda corrente","..."
"julho 2002","Brasil","Custo médio m² - moeda corrente","..."
"agosto 2002","Brasil","Custo médio m² - moeda corrente","..."
