"Mês","","Variável",""
"março 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0906736471203"
"março 1991","Brasil","IPCA - Variação mensal (%)","11.92"
"abril 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.0951976035258"
"abril 1991","Brasil","IPCA - Variação mensal (%)","4.99"
"maio 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.1022725378062"
"maio 1991","Brasil","IPCA - Variação mensal (%)","7.43"
"junho 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.1137158132840"
"junho 1991","Brasil","IPCA - Variação mensal (%)","11.19"
"julho 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.1278267780427"
"julho 1991","Brasil","IPCA - Variação mensal (%)","12.41"
"agosto 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.1478066592194"
"agosto 1991","Brasil","IPCA - Variação mensal (%)","15.63"
"setembro 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.1709099599291"
"setembro 1991","Brasil","IPCA - Variação mensal (%)","15.63"
"outubro 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.2054843245466"
"outubro 1991","Brasil","IPCA - Variação mensal (%)","20.23"
"novembro 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.2572875157699"
"novembro 1991","Brasil","IPCA - Variação mensal (%)","25.21"
"dezembro 1991","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.3182886773263"
"dezembro 1991","Brasil","IPCA - Variação mensal (%)","23.71"
"janeiro 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.4008536605699"
"janeiro 1992","Brasil","IPCA - Variação mensal (%)","25.94"
"fevereiro 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.4983410307284"
"fevereiro 1992","Brasil","IPCA - Variação mensal (%)","24.32"
"março 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.6049874674181"
"março 1992","Brasil","IPCA - Variação mensal (%)","21.40"
"abril 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.7255614652283"
"abril 1992","Brasil","IPCA - Variação mensal (%)","19.93"
"maio 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","0.9059361644186"
"maio 1992","Brasil","IPCA - Variação mensal (%)","24.86"
"junho 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1.0890285720637"
"junho 1992","Brasil","IPCA - Variação mensal (%)","20.21"
"julho 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1.3267641484791"
"julho 1992","Brasil","IPCA - Variação mensal (%)","21.83"
"agosto 1992","Brasil","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","1.6205100844213"
"agosto 1992","Brasil","IPCA - Variação mensal (%)","22.14"
